ID,Sex,Orientation,Age,Ethnicity,ImpOppSex_Ambitious,ImpOppSex_Body,ImpOppSex_Face,ImpOppSex_Kids,ImpOppSex_Stable,ImpOppSex_Sex,ImpOppSex_Finances,ImpOppSex_Generous,ImpOppSex_Humor,ImpOppSex_Healthy,ImpOppSex_Independent,ImpOppSex_Intelligent,ImpOppSex_Kind,ImpOppSex_Loyal,ImpOppSex_Responsible,ImpOppSex_Sociable,ImpYou_Ambitious,ImpYou_Body,ImpYou_Face,ImpYou_Kids,ImpYou_Stable,ImpYou_Sex,ImpYou_Finances,ImpYou_Generous,ImpYou_Humor,ImpYou_Healthy,ImpYou_Independent,ImpYou_Intelligent,ImpYou_Kind,ImpYou_Loyal,ImpYou_Responsible,ImpYou_Sociable,You_Relative_Ambitious,You_Relative_Body,You_Relative_Face,You_Relative_Kids,You_Relative_Stable,You_Relative_Sex,You_Relative_Finances,You_Relative_Generous,You_Relative_Humor,You_Relative_Healthy,You_Relative_Independent,You_Relative_Intelligent,You_Relative_Kind,You_Relative_Loyal,You_Relative_Responsible,You_Relative_Sociable,You_Relative_Overall,Status,Partner_Ambitious,Partner_Body,Partner_Face,Partner_Kids,Partner_Stable,Partner_Sex,Partner_Finances,Partner_Generous,Partner_Humor,Partner_Healthy,Partner_Independent,Partner_Intelligent,Partner_Kind,Partner_Loyal,Partner_Responsible,Partner_Sociable,Partner_Compared_Overall
1610,Female,Heterosexual,19,Latino or Hispanic,9,6,6,5,8,7,6,4,9,6,3,8,6,6,5,5,8,6,6,6,8,7,9,7,6,6,5,9,7,9,8,6,0,2,2,1,0,-1,0,1,1,1,-2,0,2,2,3,2,8,In a committed relationship,1,-1,1,1,2,1,3,-1,0,0,1,2,1,3,1,-1,7
2124,Female,Heterosexual,23,Latino or Hispanic,9,7,7,8,7,8,7,9,9,7,8,9,9,9,8,8,9,7,7,8,7,9,8,9,9,8,8,9,8,9,8,8,3,1,2,2,2,2,1,3,3,2,2,2,3,3,1,3,8,"Single, dating",,,,,,,,,,,,,,,,,
2119,Female,Heterosexual,21,Asian or Asian American,8,9,9,7,8,9,8,6,8,8,9,6,8,8,8,9,8,7,9,7,8,8,9,9,8,7,8,9,9,9,8,7,0,2,3,2,3,-1,1,2,3,-2,3,2,3,2,-1,2,7,"Single, not dating",,,,,,,,,,,,,,,,,
2089,Female,Heterosexual,19,Non-Hispanic White,8,6,6,1,7,6,8,5,8,9,7,9,7,9,9,8,8,7,7,1,5,5,9,5,8,6,8,9,7,9,9,5,3,0,1,-3,-1,0,0,-2,2,1,0,1,2,3,1,2,6,"Single, not dating",,,,,,,,,,,,,,,,,
1617,Female,Heterosexual,21,African American or Black,8,8,9,5,9,7,9,8,9,9,8,9,9,9,9,6,8,7,9,5,9,7,9,7,9,7,9,9,7,9,9,6,0,-1,1,-2,2,-1,-3,0,3,0,0,1,0,3,0,0,5,"Single, not dating",,,,,,,,,,,,,,,,,
2126,Female,Heterosexual,19,African American or Black,7,6,6,1,9,7,8,7,8,8,8,8,8,8,8,7,7,6,6,1,9,7,8,7,8,8,8,8,8,8,8,7,1,1,2,-3,2,-1,0,0,2,2,2,2,2,1,2,1,8,"Single, not dating",,,,,,,,,,,,,,,,,
2093,Female,Heterosexual,18,Asian or Asian American,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,0,0,1,2,3,0,2,2,0,-1,0,1,2,2,0,7,In a committed relationship,0,2,2,0,1,3,2,2,2,1,3,3,2,3,3,3,8
2125,Male,Heterosexual,19,African American or Black,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,3,2,3,2,3,3,3,3,3,3,3,3,10,"Single, not dating",,,,,,,,,,,,,,,,,
2148,Female,Heterosexual,25,African American or Black,7,5,5,5,7,9,9,6,5,9,8,8,8,9,7,5,8,5,6,9,7,7,7,7,8,9,8,8,9,9,9,5,1,0,0,2,2,0,1,0,0,3,2,0,1,2,2,-1,6,In a committed relationship,2,1,1,0,1,3,1,2,1,2,3,3,2,3,3,0,7
2081,Female,Heterosexual,18,Latino or Hispanic,9,9,9,5,7,8,5,9,8,7,8,8,9,9,7,6,9,7,7,7,8,8,4,8,8,9,9,8,9,9,8,6,3,3,3,0,1,0,-1,3,1,0,3,2,3,0,0,0,8,"Single, not dating",,,,,,,,,,,,,,,,,
